Split 1,Split 2,Cohort Date,First Deposit C,First Deposit S,Deposit APPC,First Deposit 2 Deposit Conversion,24h First Deposit 2 Deposit Conversion,7D First Deposit 2 Deposit Conversion,1D Deposit S,1D Deposit C,3D Deposit S,7D Deposit S,7D Deposit C,14D Deposit S,14D Deposit C,30D Deposit C,28D Deposit S,Marketing Spend,1D CNGR,3D CNGR,7D CNGR,14D CNGR,28D CNGR,Mono Instant Depositor Share,Registration C,Split 3
MarlerinoFB_TC_C,Hungary,2025-11-24,3,73,1.0,0.0,0.0,0.0,73,3,73,73,3,73,3,3,73,240.0,5,5,6,6,8,66.67,5,DZ
MarlerinoFB_TC_C,Hungary,2025-11-25,2,42,1.0,0.0,0.0,0.0,42,2,42,42,2,42,2,2,42,160.0,34,34,34,34,34,100.0,7,DZ
MarlerinoFB_TC_C,Hungary,2025-11-26,1,26,6.0,100.0,0.0,100.0,26,1,68,68,3,264,4,6,321,80.0,-39,-24,6,-295,87,0.0,2,DZ
MarlerinoFB_TC_C,Hungary,2025-11-27,2,47,1.0,0.0,0.0,0.0,47,2,47,47,2,47,2,2,47,160.0,-1,6,38,38,38,50.0,5,DZ
MarlerinoFB_TC_C,Hungary,2025-11-30,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,80.0,21,21,21,21,21,100.0,2,DZ
MarlerinoFB_TC_C,Hungary,2025-12-02,3,74,3.33,100.0,66.67,100.0,184,9,205,205,10,205,10,10,205,240.0,156,71,49,182,182,100.0,4,DZ
MarlerinoFB_TC_C,Hungary,2025-12-03,1,16,1.0,0.0,0.0,0.0,16,1,16,16,1,16,1,1,16,80.0,14,14,14,14,14,100.0,3,DZ
MarlerinoFB_TC_C,Hungary,2025-12-04,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,80.0,7,10,10,10,22,100.0,1,DZ
MarlerinoFB_TC_C,Hungary,2025-12-06,1,21,1.0,0.0,0.0,0.0,21,1,21,21,1,21,1,1,21,80.0,18,18,18,18,18,0.0,1,DZ
MarlerinoFB_TC_C,Hungary,2025-12-08,3,57,1.0,0.0,0.0,0.0,57,3,57,57,3,57,3,3,57,240.0,-8,-8,51,51,51,33.33,7,DZ
MarlerinoFB_TC_C,Hungary,2025-12-09,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,80.0,14,14,14,14,14,0.0,2,DZ
MarlerinoFB_TC_C,Hungary,2025-12-10,1,16,1.0,0.0,0.0,0.0,16,1,16,16,1,16,1,1,16,80.0,13,13,13,13,13,100.0,3,DZ
MarlerinoFB_TC_C,Hungary,2025-12-13,1,21,1.0,0.0,0.0,0.0,21,1,21,21,1,21,1,1,21,80.0,14,14,18,18,18,100.0,1,DZ
MarlerinoFB_TC_C,Hungary,2025-12-26,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,80.0,21,21,21,21,21,100.0,1,DZ
MarlerinoFB_TC_C,Italy,2025-11-23,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,17,17,17,17,17,0.0,4,DZ
MarlerinoFB_TC_C,Italy,2025-11-27,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,130.0,2,2,38,38,38,100.0,3,DZ
MarlerinoFB_TC_C,Italy,2025-12-01,3,60,3.0,100.0,0.0,100.0,60,3,60,80,4,80,4,4,80,390.0,27,26,43,63,63,50.0,3,DZ
MarlerinoFB_TC_C,Italy,2025-12-02,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,130.0,44,44,44,44,44,100.0,1,EM
MarlerinoFB_TC_C,Italy,2025-12-04,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,17,17,17,17,17,100.0,2,EM
MarlerinoFB_TC_C,Italy,2025-12-08,2,70,23.0,50.0,50.0,50.0,2270,28,3320,3620,46,3620,46,46,3620,260.0,1518,1574,1595,1595,1595,50.0,5,EM
MarlerinoFB_TC_C,Italy,2025-12-09,2,70,5.0,100.0,100.0,100.0,270,7,300,370,10,370,10,10,370,260.0,273,299,360,360,360,50.0,5,EM
MarlerinoFB_TC_C,Italy,2025-12-10,2,40,1.5,50.0,50.0,50.0,60,3,60,60,3,60,3,3,60,260.0,51,51,51,52,52,100.0,6,EM
MarlerinoFB_TC_C,Italy,2025-12-11,1,20,13.0,100.0,100.0,100.0,100,5,100,265,13,265,13,13,265,130.0,88,88,232,232,232,0.0,8,EM
MarlerinoFB_TC_C,Italy,2025-12-12,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,130.0,34,34,34,34,34,100.0,4,EM
MarlerinoFB_TC_C,Italy,2025-12-18,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,130.0,42,42,43,43,43,0.0,4,EM
MarlerinoFB_TC_C,Italy,2025-12-21,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,130.0,42,42,42,42,42,100.0,4,EM
MarlerinoFB_TC_C,Italy,2025-12-22,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,16,16,16,16,16,0.0,3,EM
MarlerinoFB_TC_C,Poland,2025-12-12,1,19,2.0,100.0,100.0,100.0,38,2,38,38,2,38,2,2,38,100.0,35,33,35,35,35,0.0,8,AI
MarlerinoFB_TC_C,Poland,2025-12-13,1,24,1.0,0.0,0.0,0.0,24,1,24,24,1,24,1,1,24,100.0,20,20,20,20,20,0.0,4,AI
MarlerinoFB_TC_C,Serbia,2025-12-23,1,14,1.0,0.0,0.0,0.0,14,1,14,14,1,14,1,1,14,60.0,12,12,12,12,12,100.0,20,EM
MarlerinoFB_TC_C,Serbia,2025-12-26,1,17,1.0,0.0,0.0,0.0,17,1,17,17,1,17,1,1,17,60.0,12,12,12,12,12,0.0,4,EM
MarlerinoFB_TC_C,Serbia,2025-12-27,1,17,1.0,0.0,0.0,0.0,17,1,17,17,1,17,1,1,17,60.0,5,5,5,5,5,0.0,6,EM
MarlerinoInApp_C,Denmark,2025-11-19,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,150.0,18,18,18,18,18,100.0,8,SS
MarlerinoKST_C,Canada,2025-12-08,1,31,1.0,0.0,0.0,0.0,31,1,31,31,1,31,1,1,31,130.0,22,22,22,22,22,100.0,11,CAlinki4
MarlerinoKST_C,Canada,2025-12-09,3,87,2.0,0.0,0.0,0.0,87,3,87,87,3,87,3,3,87,390.0,16,72,72,72,72,100.0,15,CAlinki4
Marlerino_FBI_C,Italy,2025-12-09,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,180.0,17,17,17,17,17,0.0,1,Default
Marlerino_MM_C,Austria,2025-12-20,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,160.0,15,15,15,15,15,100.0,2,RS
Marlerino_MM_C,Canada,2025-12-04,1,31,3.0,100.0,100.0,100.0,86,3,86,86,3,86,3,3,86,130.0,79,79,79,79,79,100.0,5,RS
Marlerino_MM_C,Canada,2025-12-09,1,31,2.0,100.0,0.0,0.0,31,1,31,31,1,93,2,2,93,130.0,27,27,27,80,80,0.0,5,RS
Marlerino_MM_C,Canada,2025-12-10,10,292,4.2,30.0,20.0,30.0,403,14,717,847,26,1093,34,42,1333,1300.0,139,60,-121,114,-53,20.0,47,RS
Marlerino_MM_C,Canada,2025-12-11,3,93,1.0,0.0,0.0,0.0,93,3,93,93,3,93,3,3,93,390.0,77,80,80,82,82,33.33,22,RS
Marlerino_MM_C,Canada,2025-12-12,4,117,1.25,25.0,25.0,25.0,142,5,142,142,5,142,5,5,142,520.0,32,32,48,48,48,25.0,19,RS
Marlerino_MM_C,Canada,2025-12-13,8,222,1.75,25.0,12.5,25.0,309,11,365,389,14,389,14,14,389,1040.0,114,176,277,349,349,75.0,33,RS
Marlerino_MM_C,Canada,2025-12-14,2,56,1.0,0.0,0.0,0.0,56,2,56,56,2,56,2,2,56,260.0,48,48,48,48,48,50.0,17,RS
Marlerino_MM_C,Canada,2025-12-16,1,31,1.0,0.0,0.0,0.0,31,1,31,31,1,31,1,1,31,130.0,28,28,28,28,28,100.0,1,RS
Marlerino_MM_C,Canada,2025-12-17,1,31,7.0,100.0,100.0,100.0,93,3,186,217,7,217,7,7,217,130.0,58,155,192,192,192,0.0,5,RS
Marlerino_MM_C,Canada,2025-12-18,4,124,1.75,50.0,25.0,50.0,173,6,173,198,7,198,7,7,198,520.0,121,121,144,144,144,50.0,8,RS
Marlerino_MM_C,Canada,2025-12-19,1,25,1.0,0.0,0.0,0.0,25,1,25,25,1,25,1,1,25,130.0,22,22,22,22,22,0.0,1,ST
Marlerino_MM_C,Canada,2025-12-20,3,179,3.0,66.67,66.67,66.67,588,9,588,588,9,588,9,9,588,390.0,321,363,512,512,512,0.0,9,ST
Marlerino_MM_C,Canada,2025-12-23,1,31,1.0,0.0,0.0,0.0,31,1,31,31,1,31,1,1,31,130.0,20,1,-24,-24,-24,0.0,1,RS
Marlerino_MM_C,Canada,2025-12-24,1,25,1.0,0.0,0.0,0.0,25,1,25,25,1,25,1,1,25,130.0,-38,-42,-40,-40,-40,100.0,1,RS
Marlerino_MM_C,Hungary,2025-11-20,3,78,1.0,0.0,0.0,0.0,78,3,78,78,3,78,3,3,78,240.0,64,38,64,64,64,66.67,13,KI
Marlerino_MM_C,Hungary,2025-12-01,2,32,1.0,0.0,0.0,0.0,32,2,32,32,2,32,2,2,32,160.0,-2,-2,-2,-2,-2,0.0,2,KI
Marlerino_MM_C,Hungary,2025-12-11,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,80.0,23,23,23,23,23,0.0,2,KI
Marlerino_MM_C,Hungary,2025-12-25,1,21,1.0,0.0,0.0,0.0,21,1,21,21,1,21,1,1,21,80.0,-17,14,14,14,14,100.0,8,DD
Marlerino_MM_C,Romania,2025-12-26,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,75.0,16,16,16,16,16,100.0,5,DD
Marlerino_MM_C,Romania,2025-12-27,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,75.0,-31,-31,-31,-31,-31,100.0,1,DD
Mightytips,Poland,2025-07-18,1,24,1.0,0.0,0.0,0.0,24,1,24,24,1,24,1,1,24,0.0,18,18,18,18,18,0.0,1,
Mightytips,Poland,2025-10-23,1,24,3.0,100.0,100.0,100.0,71,3,71,71,3,71,3,3,71,0.0,61,61,61,61,61,0.0,1,
NextLevel,Spain,2025-08-27,1,25,1.0,0.0,0.0,0.0,25,1,25,25,1,25,1,1,25,130.0,8,8,5,20,20,0.0,1,ES_ASO_slots
NextLevel,Spain,2025-08-28,1,20,2.0,100.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,17,16,15,15,15,100.0,2,ES_ASO_slots
NextLevel,Spain,2025-09-01,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,113.0,42,42,42,42,42,100.0,1,ES_ASO_slots
NextLevel,Spain,2025-09-10,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,113.0,-3,-3,-3,-3,-3,0.0,1,ES_ASO_slots
NextLevel,France,2025-08-26,1,30,1.0,0.0,0.0,0.0,30,1,30,30,1,30,1,1,30,100.0,25,14,14,14,14,100.0,3,FR_ASO_slots
NextLevel,France,2025-08-27,1,20,17.0,100.0,0.0,100.0,20,1,20,40,2,240,10,16,380,100.0,13,13,29,108,231,0.0,5,FR_ASO_slots
NextLevel,France,2025-09-02,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,88.0,15,15,15,15,15,100.0,1,FR_ASO_slots
NextLevel,Germany,2025-08-26,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,160.0,17,17,17,17,17,0.0,2,DE_ASO_slots
NextLevel,Germany,2025-08-27,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,160.0,37,37,37,39,39,100.0,11,DE_ASO_slots
NextLevel,Italy,2025-08-27,3,50,2.67,66.67,33.33,33.33,80,6,80,80,6,80,6,6,80,390.0,67,67,67,67,67,66.67,11,IT_PPC
NextLevel,Italy,2025-08-28,3,120,1.33,33.33,33.33,33.33,130,4,130,130,4,130,4,4,130,390.0,97,85,108,108,108,66.67,13,IT_PPC
NextLevel,Italy,2025-08-29,1,50,3.0,100.0,100.0,100.0,250,3,250,250,3,250,3,3,250,130.0,166,166,166,166,166,0.0,2,IT_PPC
NextLevel,Italy,2025-09-01,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,108.0,34,34,34,34,34,100.0,4,_IT
NextLevel,Italy,2025-09-02,1,20,26.0,100.0,0.0,100.0,20,1,40,100,7,160,13,16,160,148.0,-16,32,84,137,137,100.0,4,IT_PPC
NextLevel,Italy,2025-09-03,2,20,2.0,50.0,50.0,50.0,30,3,30,30,3,30,3,4,50,296.0,18,18,19,19,35,50.0,6,IT_PPC
NextLevel,Italy,2025-09-04,1,20,4.0,100.0,100.0,100.0,80,4,80,80,4,80,4,4,80,-102.0,66,66,66,66,66,0.0,3,_IT
NextLevel,Italy,2025-09-16,1,50,2.0,100.0,100.0,100.0,100,2,100,100,2,100,2,2,100,108.0,85,84,84,84,84,0.0,1,_IT
NextLevel,Poland,2025-09-03,1,24,3.0,100.0,0.0,100.0,24,1,71,71,3,71,3,3,71,78.0,16,51,50,50,50,0.0,2,_PL
PVT_INC,Australia,2025-09-17,1,28,3.0,100.0,0.0,0.0,28,1,28,28,1,28,1,1,28,0.0,22,21,21,21,21,0.0,1,Default
PVT_INC,Belgium,2025-10-13,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,0.0,18,17,17,17,17,100.0,1,Default
PVT_INC,Belgium,2025-11-30,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,0.0,14,14,14,14,14,0.0,1,Default
PVT_INC,France,2025-08-29,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,0.0,29,29,29,29,29,0.0,1,Default
PVT_INC,France,2025-09-13,1,39,1.0,0.0,0.0,0.0,39,1,39,39,1,39,1,1,39,0.0,26,26,26,26,26,0.0,1,Default
PVT_INC,Czech Republic,2025-09-02,1,20,2.0,100.0,0.0,0.0,20,1,20,20,1,20,1,2,40,0.0,15,15,15,15,30,0.0,1,Default
PVT_INC,Czech Republic,2025-11-20,1,23,2.0,100.0,0.0,0.0,23,1,23,23,1,23,1,2,45,0.0,16,16,16,16,34,0.0,1,Default
PVT_INC,Czech Republic,2025-12-05,1,21,6.0,100.0,100.0,100.0,41,2,41,91,4,116,5,6,147,0.0,-52,-279,-238,-217,-191,0.0,7,Default
PVT_INC,Hungary,2025-10-31,1,22,3.0,100.0,100.0,100.0,102,3,102,102,3,102,3,3,102,0.0,-42,-42,-42,-42,-42,0.0,1,Default
PVT_INC,Poland,2025-07-03,1,24,2.0,100.0,0.0,100.0,24,1,49,49,2,49,2,2,49,0.0,13,35,34,34,34,0.0,1,
Peppe_Spend_Z1,Germany,2025-09-22,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,86.0,15,15,-11,14,14,100.0,4,ast
Peppe_Spend_Z1,Germany,2025-09-24,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,86.0,18,18,18,18,18,0.0,13,ast
Peppe_Spend_Z1,Germany,2025-09-25,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,86.0,31,31,32,32,32,0.0,13,ast
Peppe_Spend_Z1,Germany,2025-09-26,1,50,2.0,100.0,100.0,100.0,150,2,150,150,2,150,2,2,150,86.0,127,127,127,127,127,0.0,6,ast
Peppe_Spend_Z1,Germany,2025-09-28,1,20,2.0,100.0,0.0,100.0,40,2,40,40,2,40,2,2,40,86.0,-215,10,10,14,14,0.0,3,ast
Peppe_Spend_Z1,Germany,2025-09-30,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,86.0,34,34,34,34,34,0.0,6,ast
Peppe_Spend_Z1,Germany,2025-10-02,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,0.0,37,37,37,37,37,100.0,2,ast
Peppe_Spend_Z1,Germany,2025-10-03,1,20,2.0,100.0,0.0,100.0,20,1,20,40,2,40,2,2,40,0.0,17,14,30,30,30,0.0,2,ast
Peppe_Spend_Z1,Germany,2025-10-05,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,0.0,16,16,15,15,15,0.0,2,ast
Peppe_Spend_Z1,Germany,2025-10-14,1,20,4.0,100.0,100.0,100.0,80,4,80,80,4,80,4,4,80,0.0,69,69,69,70,70,0.0,1,ast
PerformanceLab,Belgium,2025-07-12,1,20,14.0,100.0,100.0,100.0,40,2,40,370,14,370,14,14,370,0.0,35,33,264,264,264,0.0,1,
PerformanceLab,Spain,2025-08-06,1,20,12.0,100.0,0.0,100.0,20,1,100,240,12,240,12,12,240,130.0,-10,-41,-70,-70,-70,100.0,7,137
PerformanceLab,France,2025-08-05,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,100.0,17,17,17,17,17,100.0,6,137
PerformanceLab,France,2025-08-06,5,190,1.2,20.0,0.0,20.0,190,5,190,210,6,210,6,6,210,500.0,-477,-600,-61,-62,-61,20.0,30,137
PerformanceLab,France,2025-08-07,4,110,1.0,0.0,0.0,0.0,110,4,110,110,4,110,4,4,110,400.0,83,83,84,84,84,100.0,27,137
PerformanceLab,France,2025-08-08,2,40,1.0,0.0,0.0,0.0,40,2,40,40,2,40,2,2,40,200.0,33,33,33,33,33,100.0,13,137
PerformanceLab,France,2025-08-19,1,20,13.0,100.0,0.0,100.0,40,2,40,40,2,40,2,8,150,100.0,27,26,26,26,79,0.0,1,137
PerformanceLab,Guadaloupe,2025-08-06,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,0.0,13,13,13,13,13,0.0,7,155
PerformanceLab,Italy,2025-07-30,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,17,17,17,17,17,100.0,12,156
PerformanceLab,Italy,2025-08-01,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,-45,-31,-31,-31,-31,0.0,2,156
PerformanceLab,Italy,2025-08-02,2,40,2.5,50.0,0.0,50.0,40,2,90,90,3,110,4,5,140,260.0,-19,-100,-33,98,126,50.0,5,156
PerformanceLab,Italy,2025-08-08,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,17,17,17,17,17,100.0,11,156
PerformanceLab,Italy,2025-08-09,2,40,1.5,50.0,50.0,50.0,60,3,60,60,3,60,3,3,60,260.0,32,32,32,32,32,50.0,4,156
PerformanceLab,Italy,2025-08-10,2,70,7.5,100.0,100.0,100.0,210,5,210,230,6,270,8,12,380,260.0,7,39,201,225,337,100.0,5,156
PerformanceLab,Italy,2025-12-11,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,17,17,17,17,17,100.0,1,156
PerformanceLab,Reunion,2025-08-06,4,110,1.75,25.0,0.0,25.0,110,4,130,130,5,130,5,6,150,0.0,27,21,110,110,127,75.0,25,155
PerformanceLab3,France,2025-09-05,2,70,1.5,50.0,50.0,50.0,90,3,90,90,3,90,3,3,90,200.0,17,17,75,75,75,50.0,2,33
PerformanceLab3,France,2025-09-08,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,100.0,13,13,13,13,13,0.0,4,33
PerformanceLab3,France,2025-09-11,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,100.0,16,40,41,41,41,0.0,5,33
Pharaoh,Belgium,2025-09-02,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,160.0,15,15,15,15,15,0.0,1,11
Pharaoh,Belgium,2025-09-04,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,160.0,28,28,37,37,37,0.0,3,3
Pharaoh,Belgium,2025-09-05,2,40,2.0,0.0,0.0,0.0,40,2,40,40,2,40,2,2,40,320.0,26,33,34,36,36,200.0,1,1
Pharaoh,Belgium,2025-09-06,3,60,4.0,100.0,0.0,100.0,60,3,60,80,4,80,4,4,80,480.0,-32,-32,-10,-10,-10,200.0,1,1
Pharaoh,Germany,2025-09-04,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,160.0,-1,-1,-1,-1,18,100.0,2,40
Q3network,France,2025-09-25,4,80,1.5,25.0,0.0,0.0,80,4,80,80,4,80,4,5,100,840.0,32,44,45,45,62,0.0,12,FR_ASO_slot
Q3network,France,2025-09-26,3,240,1.0,0.0,0.0,0.0,240,3,240,240,3,240,3,3,240,630.0,143,143,143,143,143,0.0,7,FR_ASO_slot
Q3network,France,2025-09-27,3,175,8.33,100.0,100.0,100.0,445,8,465,465,9,515,10,12,615,630.0,370,386,386,429,512,0.0,6,FR_ASO_slot
Q3network,France,2025-09-28,2,40,57.5,50.0,50.0,50.0,100,5,250,900,25,2685,70,90,3525,420.0,82,160,-499,933,1291,50.0,5,FR_ASO_slot
Q3network,France,2025-09-29,3,70,1.0,0.0,0.0,0.0,70,3,70,70,3,70,3,3,70,630.0,46,46,52,52,52,0.0,4,FR_ASO_slot
Q3network,France,2025-09-30,2,40,1.0,0.0,0.0,0.0,40,2,40,40,2,40,2,2,40,420.0,30,30,30,30,30,50.0,4,FR_ASO_slot
Q3network,France,2025-10-09,4,80,1.25,25.0,25.0,25.0,105,5,105,105,5,105,5,5,105,554.0,70,43,64,84,84,25.0,5,FR_ASO_slot
Q3network,France,2025-10-10,2,70,2.0,50.0,50.0,50.0,170,3,170,170,3,220,4,4,220,277.0,56,52,59,185,186,0.0,2,FR_ASO_slot
Q3network,France,2025-10-11,5,140,1.6,40.0,0.0,40.0,140,5,140,220,7,250,8,8,250,693.0,59,46,-10,219,260,40.0,6,FR_ASO_slot
Q3network,France,2025-10-12,4,120,2.0,50.0,50.0,50.0,235,8,235,235,8,235,8,8,235,554.0,-52,188,188,188,188,0.0,13,FR_ASO_slot
Q3network,France,2025-10-13,9,700,1.67,33.33,22.22,22.22,1130,12,1130,1130,12,1130,12,13,1170,1247.0,975,975,975,975,1012,33.33,13,FR_ASO_slot
Q3network,France,2025-10-18,1,50,2.0,100.0,100.0,100.0,74,2,74,74,2,74,2,2,74,139.0,63,63,63,63,63,0.0,1,FR_ASO_slot
Q3network,France,2025-10-27,3,70,1.67,66.67,66.67,66.67,120,5,120,120,5,120,5,5,120,416.0,112,55,93,116,116,0.0,3,FR_ASO_slot
Q3networkFB,Switzerland,2025-08-08,1,21,3.0,100.0,0.0,0.0,21,1,21,21,1,64,3,3,64,0.0,15,15,15,-6,-7,0.0,1,
Quaddd,Poland,2025-09-20,3,70,6.0,100.0,66.67,66.67,141,6,164,211,9,211,9,11,235,450.0,109,121,163,163,184,0.0,10,45
Quaddd,Poland,2025-11-28,1,35,6.0,100.0,0.0,100.0,35,1,59,122,4,178,6,6,178,150.0,28,46,98,149,149,0.0,1,45
RMT_one_C,Australia,2025-12-23,2,57,2.5,50.0,50.0,50.0,128,5,128,128,5,128,5,5,128,260.0,107,107,107,107,107,0.0,11,32009
RMT_one_C,Australia,2025-12-24,1,28,1.0,0.0,0.0,0.0,28,1,28,28,1,28,1,1,28,130.0,21,21,21,21,21,100.0,16,32009
RMT_one_C,Australia,2025-12-27,1,34,2.0,100.0,100.0,100.0,68,2,68,68,2,68,2,2,68,130.0,58,58,58,58,58,0.0,5,32009
RMT_one_C,Spain,2025-12-28,4,100,2.33,33.33,33.33,33.33,130,5,130,130,5,130,5,5,130,520.0,-112,-112,-112,-112,-112,0.0,9,32002
RMT_one_C,Germany,2025-08-02,1,30,1.0,0.0,0.0,0.0,30,1,30,30,1,30,1,1,30,0.0,21,21,21,21,21,0.0,1,
RMT_one_C,Germany,2025-08-05,1,25,3.0,100.0,0.0,100.0,25,1,25,45,2,65,3,3,65,0.0,21,20,35,50,50,0.0,1,
RMT_one_C,Italy,2025-09-09,1,20,2.0,100.0,0.0,100.0,20,1,20,40,2,40,2,2,40,0.0,15,15,32,32,32,0.0,1,
RMT_one_C,Italy,2025-12-11,1,20,13.0,100.0,100.0,100.0,60,3,80,200,10,260,13,13,260,130.0,52,70,82,133,133,0.0,2,32005
RMT_one_C,Italy,2025-12-12,1,100,1.0,0.0,0.0,0.0,100,1,100,100,1,100,1,1,100,130.0,75,76,76,76,76,0.0,1,32010
RMT_one_C,Italy,2025-12-13,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,15,15,16,16,16,0.0,1,32005
RMT_one_C,Italy,2025-12-17,1,20,4.0,100.0,0.0,100.0,60,3,80,80,4,80,4,4,80,130.0,45,71,71,71,71,100.0,4,32010
RMT_one_C,Italy,2025-12-27,3,60,2.5,50.0,50.0,50.0,80,4,80,80,4,80,4,4,80,390.0,-208,-208,-208,-208,-208,100.0,6,32009
RMT_one_C,Italy,2025-12-28,1,25,1.0,0.0,0.0,0.0,25,1,25,25,1,25,1,1,25,130.0,23,23,23,23,23,0.0,8,32010
RMT_one_C,Mexico,2025-09-22,1,20,5.0,100.0,100.0,100.0,100,5,100,100,5,100,5,5,100,0.0,86,86,85,85,85,0.0,1,
RMT_one_C,Norway,2025-12-09,1,21,2.0,100.0,100.0,100.0,106,2,106,106,2,106,2,2,106,150.0,96,96,96,96,96,0.0,1,32002
RMT_one_C,Norway,2025-12-10,2,72,2.0,50.0,50.0,50.0,113,4,113,113,4,113,4,4,113,300.0,95,95,95,95,95,50.0,12,32002
RMT_one_C,Norway,2025-12-12,2,55,1.5,50.0,50.0,50.0,88,3,88,88,3,88,3,3,88,300.0,36,36,57,61,61,0.0,2,32010
RMT_one_C,Norway,2025-12-13,1,50,16.0,100.0,100.0,100.0,1144,16,1144,1144,16,1144,16,16,1144,150.0,1048,1048,1048,1048,1048,100.0,4,32010
RMT_one_C,Norway,2025-12-21,1,21,2.0,100.0,100.0,100.0,42,2,42,42,2,42,2,2,42,150.0,32,31,31,31,31,0.0,10,32010
RMT_one_C,Norway,2025-12-22,3,121,1.67,33.33,33.33,33.33,205,5,205,205,5,205,5,5,205,450.0,122,122,122,122,122,33.33,13,32010
RMT_one_C,Norway,2025-12-23,3,67,2.0,0.0,0.0,0.0,67,3,67,67,3,67,3,3,67,450.0,31,41,49,49,49,100.0,9,32009
RMT_one_C,Norway,2025-12-24,3,61,3.5,50.0,0.0,50.0,61,3,61,103,6,103,6,6,103,450.0,46,46,82,82,82,100.0,13,32009
RMT_one_C,Norway,2025-12-25,6,194,2.6,40.0,20.0,40.0,205,7,229,229,9,229,9,9,229,900.0,121,-243,-243,-243,-243,20.0,16,32009
RMT_one_C,Norway,2025-12-26,5,138,3.5,50.0,50.0,50.0,264,11,264,264,11,264,11,11,264,750.0,196,186,186,186,186,25.0,28,32009
RMT_one_C,Norway,2025-12-27,5,108,1.2,20.0,20.0,20.0,128,6,128,128,6,128,6,6,128,750.0,105,105,105,105,105,40.0,32,32009
RMT_one_C,Norway,2025-12-28,3,102,2.5,50.0,50.0,50.0,127,4,127,127,4,127,4,4,127,450.0,110,110,110,110,110,0.0,6,32009
RMT_one_C,Poland,2025-12-19,1,19,1.0,0.0,0.0,0.0,19,1,19,19,1,19,1,1,19,100.0,17,17,17,17,17,0.0,1,32009
RMT_one_C,Poland,2025-12-21,2,43,5.0,100.0,100.0,100.0,109,5,109,109,5,109,5,5,109,200.0,97,97,97,97,97,100.0,7,32008
