Split 1,Split 2,Cohort Date,First Deposit C,First Deposit S,Deposit APPC,First Deposit 2 Deposit Conversion,24h First Deposit 2 Deposit Conversion,7D First Deposit 2 Deposit Conversion,1D Deposit S,1D Deposit C,3D Deposit S,7D Deposit S,7D Deposit C,14D Deposit S,14D Deposit C,30D Deposit C,28D Deposit S,Marketing Spend,1D CNGR,3D CNGR,7D CNGR,14D CNGR,28D CNGR,Mono Instant Depositor Share,Registration C,Split 3
Art_PC,Spain,2025-09-17,1,20,3.0,100.0,100.0,100.0,60,3,60,60,3,60,3,3,60,130.0,54,54,54,54,54,100.0,8,3389
Art_PC,Spain,2025-09-30,2,70,1.0,0.0,0.0,0.0,70,2,70,70,2,70,2,2,70,260.0,50,47,50,50,50,0.0,7,3389
Art_PC,Spain,2025-10-01,2,40,2.5,50.0,0.0,0.0,40,2,40,40,2,40,2,4,80,260.0,26,25,25,25,58,50.0,6,3389
Art_PC,Spain,2025-10-03,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,10,10,10,10,10,100.0,7,3389
Bulls2,France,2025-09-18,1,20,6.0,100.0,100.0,100.0,40,2,60,100,5,100,5,6,120,160.0,24,48,-11,-11,5,0.0,12,FR_INAPP_S
Bulls2,France,2025-09-19,2,40,6.5,50.0,0.0,0.0,40,2,40,40,2,40,2,2,40,320.0,-16,-20,31,31,32,50.0,7,FR_INAPP_S
Bulls2,Germany,2025-09-17,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,200.0,32,31,31,31,31,0.0,6,DE_INAPP_S
Bulls2,Germany,2025-09-18,2,40,1.0,0.0,0.0,0.0,40,2,40,40,2,40,2,2,40,400.0,29,28,29,29,29,0.0,33,DE_INAPP_S
Bulls2,Germany,2025-09-19,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,200.0,-30,-4,13,44,44,0.0,15,DE_INAPP_S
Bulls2,Poland,2025-09-26,1,23,10.0,100.0,100.0,100.0,70,3,94,155,7,209,9,10,232,150.0,58,76,127,173,194,0.0,1,PL_INAPP_S
Bulls4,Hungary,2025-11-20,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,80.0,21,21,21,21,21,0.0,4,Default
Bulls4,Poland,2025-11-19,3,57,1.33,33.33,0.0,33.33,76,4,76,76,4,76,4,4,76,300.0,54,54,54,54,54,33.33,9,Default
Casinozentrum,Italy,2025-07-09,1,20,17.0,100.0,100.0,100.0,160,8,160,220,11,300,15,15,300,21.0,130,130,178,245,245,0.0,1,
Clicklead,Poland,2025-09-23,2,49,1.5,50.0,0.0,0.0,49,2,49,49,2,49,2,2,49,300.0,40,40,40,41,41,0.0,2,87003
Clicklead,Poland,2025-10-27,2,60,1.5,50.0,0.0,50.0,60,2,84,84,3,84,3,3,84,300.0,49,54,68,68,68,0.0,10,87003
Clicklead,Poland,2025-10-28,4,111,1.25,25.0,0.0,0.0,111,4,111,111,4,144,5,5,144,600.0,-9,-7,-7,-72,-72,0.0,10,87003
Clicklead,Poland,2025-10-29,1,31,1.0,0.0,0.0,0.0,31,1,31,31,1,31,1,1,31,150.0,26,25,25,25,25,0.0,5,87003
Clicklead,Poland,2025-10-30,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,150.0,21,20,20,20,20,0.0,3,87003
DSRCM01,Poland,2025-10-18,4,97,1.25,25.0,0.0,25.0,97,4,120,120,5,120,5,5,120,280.0,85,-30,-30,-30,-30,0.0,17,LNK
DSRCM01,Poland,2025-10-19,5,99,2.0,0.0,0.0,0.0,99,5,99,99,5,99,5,5,99,350.0,67,67,67,67,67,25.0,7,IV
DSRCM01,Poland,2025-10-20,5,160,1.4,20.0,0.0,20.0,160,5,184,208,7,208,7,7,208,351.0,123,140,173,173,173,20.0,42,LNK
DSRCM01,Poland,2025-10-21,1,24,1.0,0.0,0.0,0.0,24,1,24,24,1,24,1,1,24,70.0,21,19,19,21,21,0.0,18,LNK
DSRCM01,Poland,2025-10-25,1,19,6.0,100.0,0.0,100.0,19,1,19,137,6,137,6,6,137,70.0,16,16,143,143,143,0.0,1,LNK
DSRCM01,Portugal,2025-09-12,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,75.0,-5,-22,-6,17,17,100.0,5,NM
DV_Verum_C,Australia,2025-09-23,6,168,1.33,16.67,16.67,16.67,223,8,223,223,8,223,8,8,223,780.0,-72,-26,54,54,53,33.33,36,568
DV_Verum_C,Australia,2025-09-24,21,679,1.38,23.81,14.29,23.81,791,25,791,903,29,903,29,29,903,2600.0,281,312,678,689,697,38.1,126,568
DV_Verum_C,Australia,2025-09-25,17,504,1.53,29.41,23.53,29.41,729,23,729,757,24,785,25,25,785,2210.0,181,176,473,484,623,47.06,79,568
DV_Verum_C,Australia,2025-09-26,4,112,1.5,25.0,25.0,25.0,140,5,140,140,5,140,5,6,168,520.0,90,90,90,90,113,25.0,8,568
DV_Verum_C,Australia,2025-09-27,4,112,1.0,0.0,0.0,0.0,112,4,112,112,4,112,4,4,112,520.0,27,28,42,51,-22,50.0,4,568
DV_Verum_C,Australia,2025-09-28,1,28,1.0,0.0,0.0,0.0,28,1,28,28,1,28,1,1,28,130.0,23,23,23,23,23,100.0,1,568
DV_Verum_C,Australia,2025-09-29,1,28,5.0,100.0,100.0,100.0,56,2,141,141,5,141,5,5,141,130.0,48,123,123,123,123,0.0,1,568
DV_Verum_C,Australia,2025-09-30,1,28,1.0,0.0,0.0,0.0,28,1,28,28,1,28,1,1,28,130.0,24,24,24,24,24,0.0,1,568
DV_Verum_C,Australia,2025-10-01,1,28,1.0,0.0,0.0,0.0,28,1,28,28,1,28,1,1,28,130.0,14,14,14,14,14,100.0,1,568
DV_Verum_C,Australia,2025-10-02,2,62,3.0,100.0,100.0,100.0,642,6,642,642,6,642,6,6,642,130.0,-144,-144,587,587,587,0.0,3,568
DV_Verum_C,Australia,2025-10-03,1,28,3.0,100.0,100.0,100.0,84,3,84,84,3,84,3,3,84,130.0,36,71,71,71,71,0.0,1,568
DV_Verum_C,Australia,2025-10-04,1,28,1.0,0.0,0.0,0.0,28,1,28,28,1,28,1,1,28,130.0,20,20,21,21,21,0.0,1,568
DV_Verum_C,Australia,2025-10-06,1,28,1.0,0.0,0.0,0.0,28,1,28,28,1,28,1,1,28,130.0,10,16,18,18,18,0.0,2,568
DV_Verum_C,Australia,2025-10-10,1,28,1.0,0.0,0.0,0.0,28,1,28,28,1,28,1,1,28,130.0,-3,-3,14,12,12,0.0,2,568
DV_Verum_C,Australia,2025-10-12,1,28,1.0,0.0,0.0,0.0,28,1,28,28,1,28,1,1,28,130.0,19,18,18,18,18,0.0,1,568
DV_Verum_C,Australia,2025-11-03,1,28,3.0,100.0,0.0,100.0,28,1,28,109,3,109,3,3,109,96.0,23,23,42,88,88,0.0,1,568
DV_Verum_C,Australia,2025-11-27,3,84,1.67,33.33,33.33,33.33,101,4,118,118,5,118,5,5,118,289.0,48,88,87,87,87,66.67,31,568
DV_Verum_C,Australia,2025-11-29,2,56,7.0,200.0,100.0,200.0,101,4,101,129,5,129,5,7,186,192.0,20,81,106,106,158,100.0,1,568
DV_Verum_C,Australia,2025-11-30,1,28,1.0,0.0,0.0,0.0,28,1,28,28,1,28,1,1,28,96.0,22,22,22,22,22,0.0,1,568
DV_Verum_C,Australia,2025-12-01,3,85,1.33,33.33,33.33,33.33,113,4,113,113,4,113,4,4,113,390.0,68,78,78,79,79,33.33,29,568
DV_Verum_C,Australia,2025-12-02,6,175,3.0,80.0,60.0,60.0,259,9,259,259,9,322,11,11,322,780.0,212,211,210,258,260,40.0,44,568
DV_Verum_C,Australia,2025-12-03,11,311,2.44,33.33,22.22,33.33,368,13,396,396,14,396,14,15,425,1430.0,-26,3,21,20,11,72.22,44,568
DV_Verum_C,Australia,2025-12-04,1,28,2.0,100.0,100.0,100.0,57,2,57,57,2,57,2,2,57,130.0,48,48,48,48,48,0.0,2,568
DV_Verum_C,Australia,2025-12-27,1,29,1.0,0.0,0.0,0.0,29,1,29,29,1,29,1,1,29,130.0,24,24,24,24,24,0.0,1,568
DV_Verum_C,Belgium,2025-11-25,1,50,2.0,100.0,100.0,100.0,100,2,100,100,2,100,2,2,100,126.0,-44,-44,-44,-44,-44,0.0,16,568
DV_Verum_C,Belgium,2025-11-29,1,53,4.0,100.0,0.0,100.0,53,1,93,93,2,273,4,4,273,126.0,47,81,81,239,239,0.0,1,568
DV_Verum_C,Canada,2025-11-27,3,86,1.0,0.0,0.0,0.0,86,3,86,86,3,86,3,3,86,289.0,-65,-70,30,48,47,33.33,29,568
DV_Verum_C,Canada,2025-11-28,2,61,1.0,0.0,0.0,0.0,61,2,61,61,2,61,2,2,61,193.0,35,34,34,34,34,50.0,36,568
DV_Verum_C,Canada,2025-11-30,3,86,1.0,0.0,0.0,0.0,86,3,86,86,3,86,3,3,86,289.0,-4,-4,-4,-4,-4,66.67,10,568
DV_Verum_C,Canada,2025-12-01,2,56,4.5,50.0,50.0,50.0,228,9,228,228,9,228,9,9,228,260.0,169,102,9,53,87,100.0,11,569
DV_Verum_C,France,2025-09-26,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,100.0,-3,-277,16,16,15,100.0,50,568
DV_Verum_C,France,2025-09-29,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,100.0,17,17,17,17,17,100.0,6,568
DV_Verum_C,France,2025-09-30,4,85,5.75,75.0,50.0,75.0,145,7,205,225,11,245,12,17,360,400.0,65,101,189,125,312,25.0,7,568
DV_Verum_C,France,2025-10-02,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,100.0,16,16,16,16,16,0.0,2,568
DV_Verum_C,Italy,2025-12-25,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,-15,-15,-15,-15,-15,0.0,1,568
DV_Verum_C,Liechtenstein,2025-12-03,1,20,15.0,100.0,100.0,100.0,810,10,1010,1270,15,1270,15,15,1270,0.0,730,812,1142,1142,1142,0.0,1,568
DV_Verum_C,Portugal,2025-11-25,2,40,1.0,0.0,0.0,0.0,40,2,40,40,2,40,2,2,40,83.0,30,30,31,31,31,50.0,7,568
DV_Verum_C,Switzerland,2025-11-27,1,32,1.0,0.0,0.0,0.0,32,1,32,32,1,32,1,1,32,166.0,22,22,22,26,26,0.0,1,568
DV_Verum_C,Switzerland,2025-11-28,1,21,9.0,100.0,100.0,100.0,75,3,204,204,7,204,7,9,247,166.0,66,182,182,182,220,100.0,1,568
DV_Verum_C,Switzerland,2025-12-02,3,129,3.67,66.67,66.67,66.67,637,10,637,691,11,691,11,11,691,600.0,508,506,551,551,551,33.33,12,568
DV_Verum_C,Switzerland,2025-12-04,1,53,1.0,0.0,0.0,0.0,53,1,53,53,1,53,1,1,53,200.0,40,48,48,48,48,0.0,1,568
DV_Verum_C,Switzerland,2025-12-20,1,21,1.0,0.0,0.0,0.0,21,1,21,21,1,21,1,1,21,200.0,18,18,18,18,18,0.0,1,568
Dephouse,Australia,2025-12-09,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,200.0,17,17,16,17,17,0.0,3,14274
Dephouse,Australia,2025-12-10,1,44,3.0,100.0,0.0,100.0,82,2,82,82,2,113,3,3,113,200.0,65,65,64,91,90,100.0,4,14274
Dephouse,Australia,2025-12-11,2,68,2.0,50.0,0.0,50.0,68,2,87,121,4,121,4,4,121,400.0,-12,68,97,96,96,0.0,8,14274
Dephouse,Australia,2025-12-12,2,92,1.0,0.0,0.0,0.0,92,2,92,92,2,92,2,2,92,400.0,65,73,73,73,73,0.0,6,14274
Dephouse,Australia,2025-12-14,1,34,1.0,0.0,0.0,0.0,34,1,34,34,1,34,1,1,34,200.0,29,29,29,29,29,0.0,6,14274
